"Index Name","Date","Open","High","Low","Close"
"NIFTY CHEMICALS","23 Oct 2013","-","-","-","2348.35"
"NIFTY CHEMICALS","22 Oct 2013","-","-","-","2321.58"
"NIFTY CHEMICALS","21 Oct 2013","-","-","-","2274.35"
"NIFTY CHEMICALS","18 Oct 2013","-","-","-","2245.42"
"NIFTY CHEMICALS","17 Oct 2013","-","-","-","2247.27"
"NIFTY CHEMICALS","15 Oct 2013","-","-","-","2252.36"
"NIFTY CHEMICALS","14 Oct 2013","-","-","-","2274.84"
"NIFTY CHEMICALS","11 Oct 2013","-","-","-","2286.63"
"NIFTY CHEMICALS","10 Oct 2013","-","-","-","2295.96"
"NIFTY CHEMICALS","09 Oct 2013","-","-","-","2265.41"
"NIFTY CHEMICALS","08 Oct 2013","-","-","-","2257.62"
"NIFTY CHEMICALS","07 Oct 2013","-","-","-","2262.42"
"NIFTY CHEMICALS","04 Oct 2013","-","-","-","2252.60"
"NIFTY CHEMICALS","03 Oct 2013","-","-","-","2248.07"
"NIFTY CHEMICALS","01 Oct 2013","-","-","-","2219.32"
"NIFTY CHEMICALS","30 Sep 2013","-","-","-","2191.67"
"NIFTY CHEMICALS","27 Sep 2013","-","-","-","2206.25"
"NIFTY CHEMICALS","26 Sep 2013","-","-","-","2208.76"
"NIFTY CHEMICALS","25 Sep 2013","-","-","-","2215.53"
"NIFTY CHEMICALS","24 Sep 2013","-","-","-","2218.98"
"NIFTY CHEMICALS","23 Sep 2013","-","-","-","2197.34"
"NIFTY CHEMICALS","20 Sep 2013","-","-","-","2218.24"
"NIFTY CHEMICALS","19 Sep 2013","-","-","-","2229.41"
"NIFTY CHEMICALS","18 Sep 2013","-","-","-","2186.96"
"NIFTY CHEMICALS","17 Sep 2013","-","-","-","2171.70"
"NIFTY CHEMICALS","16 Sep 2013","-","-","-","2187.41"
"NIFTY CHEMICALS","13 Sep 2013","-","-","-","2192.83"
"NIFTY CHEMICALS","12 Sep 2013","-","-","-","2159.80"
"NIFTY CHEMICALS","11 Sep 2013","-","-","-","2157.54"
"NIFTY CHEMICALS","10 Sep 2013","-","-","-","2135.98"
"NIFTY CHEMICALS","06 Sep 2013","-","-","-","2095.67"
"NIFTY CHEMICALS","05 Sep 2013","-","-","-","2092.74"
"NIFTY CHEMICALS","04 Sep 2013","-","-","-","2055.75"
"NIFTY CHEMICALS","03 Sep 2013","-","-","-","2061.88"
"NIFTY CHEMICALS","02 Sep 2013","-","-","-","2104.28"
"NIFTY CHEMICALS","30 Aug 2013","-","-","-","2085.34"
"NIFTY CHEMICALS","29 Aug 2013","-","-","-","2085.76"
"NIFTY CHEMICALS","28 Aug 2013","-","-","-","2079.37"
"NIFTY CHEMICALS","27 Aug 2013","-","-","-","2103.39"
"NIFTY CHEMICALS","26 Aug 2013","-","-","-","2136.36"
"NIFTY CHEMICALS","23 Aug 2013","-","-","-","2113.46"
"NIFTY CHEMICALS","22 Aug 2013","-","-","-","2118.75"
"NIFTY CHEMICALS","21 Aug 2013","-","-","-","2129.94"
"NIFTY CHEMICALS","20 Aug 2013","-","-","-","2145.64"
"NIFTY CHEMICALS","19 Aug 2013","-","-","-","2153.89"
"NIFTY CHEMICALS","16 Aug 2013","-","-","-","2187.75"
"NIFTY CHEMICALS","14 Aug 2013","-","-","-","2236.63"
"NIFTY CHEMICALS","13 Aug 2013","-","-","-","2203.67"
"NIFTY CHEMICALS","12 Aug 2013","-","-","-","2193.80"
"NIFTY CHEMICALS","08 Aug 2013","-","-","-","2201.95"
"NIFTY CHEMICALS","07 Aug 2013","-","-","-","2174.91"
"NIFTY CHEMICALS","06 Aug 2013","-","-","-","2187.45"
"NIFTY CHEMICALS","05 Aug 2013","-","-","-","2260.02"
"NIFTY CHEMICALS","02 Aug 2013","-","-","-","2289.55"
"NIFTY CHEMICALS","01 Aug 2013","-","-","-","2273.10"
"NIFTY CHEMICALS","31 Jul 2013","-","-","-","2289.14"
"NIFTY CHEMICALS","30 Jul 2013","-","-","-","2322.54"
"NIFTY CHEMICALS","29 Jul 2013","-","-","-","2352.10"
"NIFTY CHEMICALS","26 Jul 2013","-","-","-","2387.79"
"NIFTY CHEMICALS","25 Jul 2013","-","-","-","2427.41"
"NIFTY CHEMICALS","24 Jul 2013","-","-","-","2475.36"
"NIFTY CHEMICALS","23 Jul 2013","-","-","-","2469.45"
"NIFTY CHEMICALS","22 Jul 2013","-","-","-","2472.45"
"NIFTY CHEMICALS","19 Jul 2013","-","-","-","2480.30"
"NIFTY CHEMICALS","18 Jul 2013","-","-","-","2468.21"
"NIFTY CHEMICALS","17 Jul 2013","-","-","-","2477.58"
"NIFTY CHEMICALS","16 Jul 2013","-","-","-","2451.66"
"NIFTY CHEMICALS","15 Jul 2013","-","-","-","2466.73"
"NIFTY CHEMICALS","12 Jul 2013","-","-","-","2429.92"
"NIFTY CHEMICALS","11 Jul 2013","-","-","-","2398.11"
"NIFTY CHEMICALS","10 Jul 2013","-","-","-","2378.27"
